neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,days_from_last_review,distance_to_city_center
Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,2.04,3,355,38,13.030768468333951
Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,1.42,1,255,25,11.946907333082065
Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,1.65,3,284,24,5.871000688244696
Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,2.37,3,359,8,12.847697268768398
Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,0.66,2,269,58,5.445607337229318
Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,1.41,3,340,18,5.134222551737543
Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,Private room,35,60,0,0.0,1,365,3025,5.947120703394965
Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,2,231,1.96,2,22,17,6.748220879936446
Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,1,0,0.0,1,365,3025,9.15789405320551
Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,1,214,1.81,4,188,4,1.4284446363194478
Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,2.08,2,96,18,2.3180783793830075
Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,0.39,1,345,43,5.984249942731464
Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,0.23,1,311,282,3.1114324427053703
Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,0.69,1,273,23,8.874869787829565
Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,0.84,1,309,26,12.143483116005386
Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,29,11,0.49,1,95,34,6.9791199592572175
Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,2.25,1,215,8,6.287687465719651
Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,0.52,1,265,45,5.5052072446703
Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,0.1,1,0,919,6.279814669918754
Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,1.16,2,192,22,3.6139767470728237
Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,1.01,3,251,23,6.6831343651763335
Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,0.63,1,302,2,8.712809453426253
Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,0.7,1,140,53,6.025301956973304
Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,2.82,1,234,10,5.046823074396978
Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,0.22,1,257,106,3.6630400097688742
Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,0.9,1,30,17,3.971033079587826
Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,0.17,1,301,52,1.4980660215146295
Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,289,2.49,2,294,30,4.848070493488699
Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,1.19,3,320,35,5.888694400947399
Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,0.3,1,154,10,1.2459862335733778
Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,0.38,1,263,9,3.716114574149553
Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,0.57,2,231,101,7.8450285115103755
Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,1.33,2,297,164,5.222465814916925
Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,0.23,2,292,647,4.097514113697789
Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,191,1.65,1,191,54,5.3660441926609215
Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,0.16,1,0,653,4.771742916043822
Manhattan,East Village,40.72649,-73.97904,Private room,80,1,338,4.72,2,72,8,2.7385866669502446
Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,1.4,1,362,16,3.2408081156096618
Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,1.26,2,336,18,2.122435269891897
Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,1.64,1,215,16,11.363533252669356
Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,0.43,1,116,421,2.3991162725834334
Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,0.43,1,88,38,5.809186306811952
Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,1.6,2,336,21,14.268564027239789
Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,0.92,1,304,13,4.834538789680296
Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,0.2,1,224,188,2.2946386614366134
Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,1.5,1,322,3,7.770297547818427
Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,0.22,1,324,39,9.624125939878416
Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,1.28,1,132,23,3.5597146424355173
Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,1.65,1,295,42,3.1919788313783264
Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,0.54,4,238,78,3.794945890829767
Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,0.49,1,209,108,13.719404058387973
Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,0.62,1,328,9,1.5763419607523748
Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,0.15,1,38,24,7.46284468074242
Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,0.84,1,188,92,1.533972483718059
Brooklyn,Brooklyn Heights,40.69723,-73.99268,Entire home/apt,800,1,25,0.24,1,7,1069,2.063159608842314
Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,0.53,1,272,334,4.145475307070861
Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,1.73,1,26,9,2.168117099444643
Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,0.05,1,0,1241,2.810829945121367
Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,1.54,4,288,17,3.7053543810715857
Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,0.28,1,317,44,5.886602852869097
Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,3.4,1,207,12,4.406029143282152
Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,0.2,6,185,39,4.479122664974522
Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,0.3,1,158,49,4.629136453613466
Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,1.57,1,0,352,4.090411387216863
Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,1.05,2,9,21,6.880385631191175
Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,0.71,1,198,2,10.134765379469679
Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,0.11,1,365,273,13.722077196393192
Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,0.27,2,364,69,3.0421304231413435
Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,1.23,2,311,254,7.65977657586607
Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,0.87,3,219,187,13.055588009989561
Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,2.09,3,342,15,3.6982832565964765
Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,0.6,1,312,2441,15.023405460913088
Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,0.55,2,243,52,2.030568023814279
Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,3.02,1,152,41,5.427677795825088
Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,0.79,1,9,249,5.258334257016814
Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,1.46,2,137,11,7.66303059594294
Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,0.4,1,222,409,4.8677763446741675
Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,1.61,1,346,16,11.908904152890065
Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,0.2,1,208,844,3.7257480489121737
Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,3.0,2,279,23,4.844130786387934
Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,0.2,6,250,37,4.450885758530734
Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,0.13,1,164,575,2.701134026773288
Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,4.22,2,192,191,5.118962618467627
Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,0.06,4,298,699,2.493671768401698
Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,0.38,1,260,1315,3.9992079039304875
Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,3.01,1,107,16,4.165093878683477
Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,0.27,1,199,73,7.6848077164779
Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,1.05,4,299,32,2.638426475734162
Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,3.2,3,20,50,5.220660581055048
Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,2.03,1,318,8,13.614631479130917
Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,0.24,2,216,191,5.770656166303658
Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,0.12,1,224,13,7.727249537494559
Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,0.23,1,0,2768,2.0533564584404678
Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,0.08,1,324,277,7.39309221296755
Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,0.08,1,245,2851,3.5636133000500907
Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,0.19,1,189,693,8.731414080765012
Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,0.33,1,307,691,17.395711589035507
Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,0.58,2,310,56,5.432863430873078
Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,1.42,3,213,19,12.450223930805462
Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,2.35,1,278,6,4.798490837313905
Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,0.66,1,209,14,1.743664996984193
Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,1.86,1,0,50,5.309392837157309
Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,0.29,1,16,25,1.4752176176940672
Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,0.45,3,234,44,6.356739788335035
Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,0.25,1,12,8,2.4139467978404556
Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,0.02,1,178,189,10.926488560768012
Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,3.89,3,275,15,4.580529849494742
Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,2.09,2,163,16,6.735386184595455
Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,0.77,3,365,8,4.377812832939684
Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,0.03,1,34,709,5.027750835272519
Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,0.1,1,280,393,4.88126810599431
Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,0.04,1,0,1171,3.238942830349766
Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,0.01,1,1,2850,15.039737315070678
Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,1.72,2,170,19,6.84526461179566
Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,0.11,1,188,7,5.640139001218708
Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,2.19,1,214,22,3.9488550451202347
Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,0.28,1,248,22,2.2837254228739217
Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,1.86,4,262,17,3.815625136381464
Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,1.05,5,280,10,3.6846730261661933
Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,0.74,1,307,17,2.472610842116392
Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,0.09,1,339,2251,5.467770975796469
Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,1.61,1,1,26,3.849243090924486
Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,0.05,1,269,316,5.470687611363357
Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,0.32,1,10,771,10.503039215459669
Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,1.24,1,312,100,2.1675352283662805
Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,0.25,1,189,194,3.551835796618838
Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,1.16,2,290,13,8.441960414395995
Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,0.27,1,230,190,3.6899913689751505
Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,2.6,2,164,31,8.179363639130717
Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,1.86,2,53,42,4.690403499692555
Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,0.26,1,126,88,7.8910922662923415
Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,2.86,2,3,17,6.009961038503592
Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,0.13,1,189,2997,2.0879987164148517
Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,0.08,1,365,1019,6.433536549505466
Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,2.17,1,0,3,5.075198327701166
Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,0.04,1,0,1345,13.566272431076625
Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,3.47,3,336,15,4.458204640722306
Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,1.4,3,342,21,3.8512635478948236
Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,1.66,1,312,26,9.816366259617787
Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,0.94,1,37,20,7.499518468224104
Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,2.04,3,353,5,14.675192969545899
Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,1.78,1,177,1098,3.2468854038982715
Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,0.78,4,310,16,2.5671910150469177
Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,1.06,1,0,19,0.9448221204244017
Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,2.0,2,321,15,3.8152218190239795
Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,0.8,1,246,38,2.7544942909973495
Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,0.75,3,231,44,12.390261944145562
Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,0.36,1,225,1175,2.3827083849813335
Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,1.79,1,0,204,13.616949537143531
Brooklyn,Fort Greene,40.68863,-73.97691,Private room,65,2,206,1.92,2,0,9,3.6398355773774007
Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,0.11,5,365,58,9.183378729658168
Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,1.18,2,233,56,11.024485342091205
Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,0.58,1,1,92,4.015247374094954
Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,0.5,1,18,34,4.320521884889049
Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,3,126,1.17,4,343,51,6.146466117714517
Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,0.48,3,250,15,4.701363268514069
Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,3,199,1.85,1,326,15,7.604186726498667
Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,175,26,30,0.29,1,364,2500,6.413829996220658
Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,125,3,3,0.03,1,0,1453,3.0968535261999652
Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,0.38,1,299,13,5.638015005095536
Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,2,109,1.04,1,207,24,1.621228743923558
Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,135,5,151,1.43,3,162,17,5.063515368998233
Manhattan,Upper East Side,40.77333,-73.95199,Private room,130,14,0,0.0,2,0,3025,8.123544526561018
Manhattan,Lower East Side,40.72319,-73.99201,Private room,83,1,285,2.69,1,7,17,1.6518142855838789
Manhattan,Chelsea,40.74859,-73.99671,Private room,123,1,375,3.52,1,328,21,4.051174175120524
Queens,Jamaica,40.67252,-73.76597,Private room,55,2,52,0.49,2,365,50,20.775709519179205
Manhattan,Hell's Kitchen,40.76244,-73.99271,Entire home/apt,195,5,10,1.01,1,0,8,5.625606374860628
Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,Private room,80,2,11,0.48,1,0,603,6.299221030730237
Queens,Middle Village,40.71722,-73.87856,Entire home/apt,98,30,33,0.31,5,240,1522,10.779418064757271
Queens,Ridgewood,40.70234,-73.89816,Private room,140,7,6,0.06,5,365,1370,9.186848598071963
Queens,Middle Village,40.71546,-73.87854,Entire home/apt,265,7,38,0.38,5,365,73,10.774119124597483
Brooklyn,Williamsburg,40.7195,-73.95976,Entire home/apt,249,2,358,3.44,2,164,19,3.9772648722273725
Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,105,6,10,0.09,1,363,2009,6.119464471352611
Manhattan,Harlem,40.80234,-73.95603,Private room,200,30,0,0.0,1,365,3025,10.801629024245367
Brooklyn,Prospect Heights,40.6787,-73.97262,Private room,100,2,226,2.12,3,250,33,4.722198191520175
Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,121,1,104,1.0,5,247,17,11.959720243728349
Bronx,Highbridge,40.83075,-73.93058,Private room,45,1,138,1.45,3,323,9,14.563920643651945
Manhattan,East Harlem,40.79958,-73.94275,Private room,100,5,204,1.92,1,192,16,11.017999805649353
Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,140,2,253,3.04,1,125,7,5.72062547028926
Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,71,2,23,0.22,1,91,8,6.821938593889137
Manhattan,NoHo,40.72773,-73.99134,Private room,130,2,115,1.17,1,75,216,2.0695400349750286
Manhattan,West Village,40.72861,-74.0049,Entire home/apt,199,5,129,1.22,1,286,51,1.7581351572582076
Brooklyn,Williamsburg,40.70979,-73.95162,Private room,69,4,82,1.13,2,60,29,4.607317767327711
Brooklyn,Fort Greene,40.68656,-73.97525,Private room,68,3,37,0.35,1,0,190,3.9044746186965122
Manhattan,East Village,40.72752,-73.98432,Entire home/apt,130,1,204,2.04,1,192,8,2.4550586709256237
Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,195,2,69,0.65,1,58,26,4.414193473677829
Manhattan,Harlem,40.81219,-73.94499,Private room,64,1,192,1.84,5,245,36,12.1801977430335
Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140,2,17,0.16,1,292,22,10.758408036399198
Brooklyn,Cobble Hill,40.68926,-73.99386,Entire home/apt,159,2,222,2.12,1,279,15,2.808212773563825
Manhattan,East Village,40.72821,-73.98701,Entire home/apt,189,3,205,1.96,1,0,16,2.3457803274130975
Manhattan,Hell's Kitchen,40.7672,-73.98508,Entire home/apt,250,3,94,0.96,1,3,30,6.2941805858941295
Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,3,7,0.07,1,351,46,2.325436874305371
Manhattan,Flatiron District,40.7403,-73.98498,Entire home/apt,305,2,108,1.09,1,201,9,3.5326228582730543
Manhattan,Harlem,40.80931,-73.94343,Entire home/apt,155,3,222,2.1,2,232,13,11.948859305173663
Manhattan,Harlem,40.8251,-73.94287,Private room,60,1,458,4.58,2,258,6,13.562101415821207
Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,135,2,21,0.26,1,272,53,6.31092194590084
Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,120,7,17,0.3,1,341,62,7.21534729287355
Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,150,3,41,0.39,1,244,188,1.9032017496144789
Queens,Ridgewood,40.70411,-73.89934,Entire home/apt,140,14,1,0.01,5,365,2486,9.064795901844775
Brooklyn,Greenpoint,40.73401,-73.95967,Entire home/apt,135,2,69,0.67,1,12,51,4.56824291075217
Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,250,4,18,0.18,2,265,8,1.0670506453246589
Manhattan,Midtown,40.7589,-73.96991,Entire home/apt,250,30,82,0.78,1,0,1281,5.958294233754794
Manhattan,SoHo,40.72003,-74.00262,Entire home/apt,500,4,94,0.99,1,329,16,0.8521616571124317
Manhattan,Greenwich Village,40.73194,-73.99474,Entire home/apt,225,5,10,0.1,1,91,59,2.3286564030745622
Manhattan,East Harlem,40.79163,-73.94573,Entire home/apt,125,28,183,1.83,2,365,283,10.126119749278397
Manhattan,Harlem,40.8118,-73.94434,Private room,92,1,189,1.82,5,253,28,12.16436162110833
Manhattan,Harlem,40.81583,-73.94707,Private room,175,2,1,0.11,1,365,275,12.476522021800717
Manhattan,East Village,40.72654,-73.98049,Entire home/apt,99,2,127,1.22,1,320,19,2.6407660793578644
Manhattan,Upper West Side,40.80021,-73.96071,Entire home/apt,195,4,4,0.04,1,0,683,10.433060360782818
Manhattan,East Harlem,40.80942,-73.93936,Entire home/apt,140,3,135,1.3,3,192,19,12.115553438943401
Manhattan,Little Italy,40.71961,-73.9954,Entire home/apt,135,2,21,0.2,1,0,1305,1.1722126935162105
Manhattan,Chelsea,40.74358,-74.00027,Entire home/apt,500,2,35,0.34,1,348,712,3.4521845936761575
Manhattan,Harlem,40.80335,-73.9575,Private room,80,14,10,2.21,2,0,38,10.857525657796902
Manhattan,Chinatown,40.71445,-73.9908,Private room,120,4,171,1.8,2,353,16,1.2973779577943227
Brooklyn,East Flatbush,40.64446,-73.9503,Entire home/apt,65,3,238,2.3,1,2,25,8.93127983314174
Manhattan,East Village,40.7268,-73.99079,Entire home/apt,130,50,56,0.58,1,56,44,2.0170545432765867
Brooklyn,Bushwick,40.688,-73.9171,Entire home/apt,99,3,111,2.13,1,68,17,8.00221260556596
Staten Island,Tompkinsville,40.63536,-74.08537,Private room,36,2,193,1.85,6,360,14,10.907975603041073
Staten Island,Tompkinsville,40.63627,-74.08543,Private room,37,2,147,1.44,6,0,29,10.83160332492445
Staten Island,Tompkinsville,40.63518,-74.08546,Private room,37,2,177,1.71,6,320,7,10.928422532393427
Manhattan,East Village,40.72477,-73.98161,Entire home/apt,175,3,185,1.78,2,326,46,2.452267007571825
Manhattan,Chelsea,40.74238,-73.99567,Entire home/apt,205,9,62,0.7,2,76,18,3.3987666010836657
